"SELLER","SUPPLIER"
"Marketplace Seller Dashboard","Supplier Dashboard"
"Manage Seller","Manage Supplier"
"Manage Sellers","Manage Suppliers"
"Manage Seller's Product","Manage Supplier's Product"
"Manage Seller's Order","Manage Supplier's Order"
"Seller ID","Supplier ID"
"Seller Name","Supplier Name"
"Seller Email","Supplier Email"
"Seller Name ","Supplier Name"
"Seller Email ","Supplier Email"
"Seller Status","Supplier Email"
"Seller Since","Supplier Since"
"Sellers Transaction","Suppliers Transaction"
"Seller Payment Information","Supplier Payment Information"
"Total Seller Amount","Total Supplier Amount"
"By Seller","By Supplier"
"Seller Account Information","Supplier Account Information"
"Seller Profile Information","Supplier Profile Information"
"Do You Want To Remove This Seller ?","Do You Want To Remove This Supplier ?"
"Check To Unapprove Seller","Check To Unapprove Supplier"
"Set Commission In Percentage For This Seller","Set Commission In Percentage For This Supplier"
"Total Seller Sale","Total Supplier Sale"
"Payment Information not filled by the Seller yet.","Payment Information not filled by the Supplier yet."
"Marketplace Management","B2B Marketplace"
"Marketplace Configuration Section","B2B Marketplace Configuration Section"
"%1 is required field.","%1 is required field."
"%1 is already exist.","%1 is already existhhh."
"Email Address","Email Address"
"Email id already exist.","Email id already exist."
"Already logged in.","Already logged in."
"Marketplace Become Seller","Become B2B Supplier"
"Seller Request Panel","Supplier Request Panel"
"Become Seller","Become Supplier"
"New","New"
"Pending","Pending"
"Answered","Answered"
"Confirmed","Confirmed"
"Rejected","Rejected"
