"Approve","Approve"
"Delete","Delete"
"Edit","Edit"
"Unapprove","Unapprove"
"Set Commission","Set Commission"
"Select Category","Select Category"
"Commission Type","Commission Type"
"Fixed","Fixed"
"Percent","Percent"
"Commissions :","Commissions :"
"Category Name","Category Name"
"Save setting","Save setting"
"Save Setting","Save Setting"
"Per  click","Per  click"
"Per unique click","Per unique click"
"Per Sale","Per Sale"
"Set Commission Type","Set Commission Type"
"Percentage","Percentage"
"Set Commission Rate","Set Commission Rate"
"Payout setting","Payout setting"
"Minimum Payout Balance","Minimum Payout Balance"
"Payment Day Of The Month","Payment Day Of The Month"
"Affiliate Name","Affiliate Name"
"Affiliate Email","Affiliate Email"
"Search By Affiliate Name","Search By Affiliate Name"
"Search By Affiliate Email","Search By Affiliate Email"
"Submit","Submit"
"Paid By","Paid By"
"Transaction Id","Transaction Id"
"Transaction Amount","Transaction Amount"
"Transaction Date","Transaction Date"
"No Payment History Available","No Payment History Available"
"Blog url","Blog url"
"Search by Email","Search by Email"
"All","All"
"Please Select","Please Select"
"Blog URL","Blog URL"
"Not Approved","Not Approved"
"No Request Available","No Request Available"
"Email Address","Email Address"
"Search by Name","Search by Name"
"Click","Click"
"Unique click","Unique click"
"Total Sales","Total Sales"
"Sale Commission","Sale Commission"
"Paid","Paid"
"Balance","Balance"
"Payment","Payment"
"Payment Method","Payment Method"
" Payment Method"," Payment Method"
"Product Ads","Product Ads"
"Text Ads","Text Ads"
"Seller Name","Seller Name"
"HTML Code","HTML Code"
"No Banners Available","No Banners Available"
"Product Name","Product Name"
"Image","Image"
"Waiting for approval from admin","Waiting for approval from admin"
"Blog Url","Blog Url"
"Affilate Terms Accept","Affilate Terms Accept"
"I agree to the","I agree to the"
"Affiliate Terms","Affiliate Terms"
"add multiple email address using comma (,) separate","add multiple email address using comma (,) separate"
"Add Product Links","Add Product Links"
"Commission Rates","Commission Rates"
"Seller Email","Seller Email"
"Search By Seller Email","Search By Seller Email"
"Per Click","Per Click"
"Per Unique Click","Per Unique Click"
"Commission Rate","Commission Rate"
"No Commission Rates Available","No Commission Rates Available"
"Affiliate","Affiliate"
"Banner & Ads","Banner & Ads"
"Sales","Sales"
"Payment Records","Payment Records"
"Request To Seller","Request To Seller"
"Become Affiliate User","Become Affiliate User"
"Search By Seller Name","Search By Seller Name"
"Select Payment Method","Select Payment Method"
"Payable To","Payable To"
"PayPal E-mail","PayPal E-mail"
"Account Holder","Account Holder"
"Bank Name","Bank Name"
"Account Number","Account Number"
"Bank Address","Bank Address"
"S.W.I.F.T Code","S.W.I.F.T Code"
"Blog","Blog"
"Select Seller","Select Seller"
"Select seller","Select seller"
"Select","Select"
"Send Request","Send Request"
"List of Seller","List of Seller"
"Pending","Pending"
"Accepted","Accepted"
"Rejected","Rejected"
"No Request Sent","No Request Sent"
"Order Id#","Order Id#"
"Search By Order Id","Search By Order Id"
"# Order ID","# Order ID"
"Date","Date"
"No Sales History Available","No Sales History Available"
"Daily","Daily"
"Monthly","Monthly"
"Traffic Graph","Traffic Graph"
"Edit Blog Url","Edit Blog Url"
"No Summary Available","No Summary Available"
"Unique Click","Unique Click"
"Received","Received"
"Traffic Summary","Traffic Summary"
"IP Address","IP Address"
"Referring URL","Referring URL"
"View Date","View Date"
"No Traffic Summary","No Traffic Summary"
"Back","Back"
"Go to Details Page","Go to Details Page"
"Add Transaction Detail","Add Transaction Detail"
"Save Transaction Detail","Save Transaction Detail"
"Payment amount is not available","Payment amount is not available"
"Pay to Affiliate By Paypal","Pay to Affiliate By Paypal"
"Payment method is not set by user","Payment method is not set by user"
"Banner Preview","Banner Preview"
"Ok","Ok"
" No Action is selected"," No Action is selected"
" No Checkbox is checked "," No Checkbox is checked "
" Are you sure to perform this action ? "," Are you sure to perform this action ? "
"PAYMENT METHOD DETAILS","PAYMENT METHOD DETAILS"
"SAVE TRANSACTION DETAILS","SAVE TRANSACTION DETAILS"
"Amount is not greater then zero","Amount is not greater then zero"
"Products<div style="" line-height: 0; "" class=""block-search""> <input type=""text""  placeholder=""Search products"" id=""aff_campaign_product_search""> <div class=""actions""><button type=""submit"" title=""Search"" class=""action search"" disabled=""""><span>Search</span></button></div></div>","Products<div style="" line-height: 0; "" class=""block-search""> <input type=""text""  placeholder=""Search products"" id=""aff_campaign_product_search""> <div class=""actions""><button type=""submit"" title=""Search"" class=""action search"" disabled=""""><span>Search</span></button></div></div>"
"Webkul","Webkul"
"Marketplace Affiliate System","Marketplace Affiliate System"
"General Settings","General Settings"
"Enable","Enable"
"Display blog link on registration","Display blog link on registration"
"Allow affiliate registrations","Allow affiliate registrations"
"Automatically approve affiliates","Automatically approve affiliates"
"Minimum payout balance","Minimum payout balance"
"Payment day of the month","Payment day of the month"
"days from 1 to 31","days from 1 to 31"
"Blog URL Hint","Blog URL Hint"
"Affiliate Manage E-mail","Affiliate Manage E-mail"
"Affiliate user account update by Admin email template","Affiliate user account update by Admin email template"
"On affiliate user account status update by Admin","On affiliate user account status update by Admin"
"Affiliate user account update by Seller email template","Affiliate user account update by Seller email template"
"On affiliate user account status update by Seller","On affiliate user account status update by Seller"
"Affiliate user notification by seller email template","Affiliate user notification by seller email template"
"When seller send any notification to user","When seller send any notification to user"
"E-mail campaign template","E-mail campaign template"
"For e-mail campaign","For e-mail campaign"
"Manager email template","Manager email template"
"To admin for affiliate sales order approve","To admin for affiliate sales order approve"
"Payment credit notification email template","Payment credit notification email template"
"When affiliate user payment credited in bank","When affiliate user payment credited in bank"
"Affiliate user email template on order complete","Affiliate user email template on order complete"
"On affiliate sales order completed notification","On affiliate sales order completed notification"
"Seller email template on order complete","Seller email template on order complete"
"On sales order completed notification to seller","On sales order completed notification to seller"
"Seller notification on request email template","Seller notification on request email template"
"Notify Seller when affiliate user sends request","Notify Seller when affiliate user sends request"
"Payment Information","Payment Information"
"Sandbox","Sandbox"
"Assign Payment Methods","Assign Payment Methods"
"Manage Affiliate General Commission Rates","Manage Affiliate General Commission Rates"
"Pay Per Click","Pay Per Click"
"Set payment for per click","Set payment for per click"
"Set payment for per unique click","Set payment for per unique click"
"Set Commission Type For Sale","Set Commission Type For Sale"
"Set commission amount","Set commission amount"
"Affiliate Program Terms","Affiliate Program Terms"
"Must agree to Affiliate Program Terms?","Must agree to Affiliate Program Terms?"
"Add New Banner","Add New Banner"
"Do you want to delete selected banners record?","Do you want to delete selected banners record?"
"Banner Title","Banner Title"
"Banner Size","Banner Size"
"Banner Link","Banner Link"
"Created Date","Created Date"
"IPN Transaction Id","IPN Transaction Id"
"Purchased On","Purchased On"
"Affiliate User Name","Affiliate User Name"
"Total Order","Total Order"
"Order Status","Order Status"
"Customer IP","Customer IP"
"Affiliate User Email","Affiliate User Email"
"Do you want to approve selected affiliate users?","Do you want to approve selected affiliate users?"
"Do you want to unapprove selected affiliate users?","Do you want to unapprove selected affiliate users?"
"Id","Id"
"Summary","Summary",
"Email Affiliate","Email Affiliate"
"Marketplace Affiliate","Marketplace Affiliate",
"Manage Affiliate User","Manage Affiliate User"
"Notify to affiliate user when account status update","Notify to affiliate user when account status update"
"Notify to affiliate user when account status update by Seller","Notify to affiliate user when account status update by Seller"
"Payment credited notification","Payment credited notification"
"Notify to affiliate user by seller","Notify to affiliate user by seller"
"Notify to admin manager","Notify to admin manager"
"Notify to affiliate user","Notify to affiliate user"
"E-mail Campaign","E-mail Campaign"
"Notify to Seller on request","Notify to Seller on request"
"Your email has been sent successfully","Your email has been sent successfully"
"click","click"
"Search by product name","Search by product name"
"Search by banner title","Search by banner title"
"Month","Month"
"Balance Amount","Balance Amount"
"Amount to Pay","Amount to Pay"
"Pay with Paypal","Pay with Paypal"
"Pay to","Pay to"
"Amount","Amount"
"Enter Transaction Detail","Enter Transaction Detail"
